Node Index,NO Serial Number,O3 Serial Number,NO2 Serial Number,CO Serial Number,NO Electronic WE Zero (mv),NO Total WE Zero (mv),NO Electronic Aux Zero (mv),NO Total Aux Zero (mv),NO Electronic WE sens (nA/ppm),NO Total WE Sens (mV/ppb),O3 Electronic WE Zero (mv),O3 Total WE Zero (mv),O3 Electronic Aux Zero (mv),O3 Total Aux Zero (mv),O3 Electronic WE sens (nA/ppm),O3 Total WE Sens (mV/ppb),NO2 Electronic WE Zero (mv),NO2 Total WE Zero (mv),NO2 Electronic Aux Zero (mv),NO2 Total Aux Zero (mv),NO2 Electronic WE sens (nA/ppm),NO2 Total WE Sens (mV/ppb),CO Electronic WE Zero (mv),CO Total WE Zero (mv),CO Electronic Aux Zero (mv),CO Total Aux Zero (mv),CO Electronic WE sens (nA/ppm),CO Total WE Sens (mV/ppb)
1,160080234,165417330,161740141,162240520,285,384,298,376,672,0.546,335,345,347,359,-421,0.307,236,233,243,243,-348,0.254,348,360,345,332,553,0.442
2,160080228,165676650,161740137,162240517,278,377,273,352,628,0.538,329,364,336,366,-531,0.388,237,224,234,221,-344,0.251,341,372,346,323,494,0.395
3,160080216,165676649,161740160,162240526,282,369,272,342,708,0.502,355,393,361,391,-468,0.342,234,232,231,225,-338,0.247,338,360,341,322,505,0.404
4,160080233,165676645,161740163,162240518,278,366,263,328,683,0.566,337,358,341,365,-488,0.356,229,218,251,238,-353,0.258,342,358,341,315,530,0.424
5,160080225,165676657,161740161,162240527,282,396,275,355,664,0.531,327,346,329,349,-512,0.374,236,232,214,198,-373,0.272,324,342,351,328,525,0.42
6,160080215,165676662,161740139,162740162,281,390,280,362,715,0.572,355,358,341,336,-489,0.357,234,227,233,230,-429,0.313,342,350,360,333,562,0.45
7,160080230,165417325,161740147,162240508,294,405,277,350,726,0.581,347,365,330,352,-491,0.358,234,220,244,228,-363,0.265,351,358,359,328,531,0.425
8,160080206,165676652,161740154,162240525,284,387,290,368,675,0.54,346,368,332,355,-487,0.356,239,232,230,227,-392,0.286,351,370,350,334,511,0.409
9,160080242,165676653,161740011,162240503,293,391,259,360,660,0.528,356,368,343,357,-484,0.353,254,242,231,224,-528,0.385,331,346,349,328,526,0.421
10,160080227,165676647,161740138,162240509,270,377,284,366,663,0.53,341,348,330,340,-476,0.347,247,245,239,236,-380,0.277,342,362,348,325,508,0.406
11,160080207,165676644,161740155,162240510,290,408,279,356,713,0.57,350,368,324,341,-505,0.369,242,236,234,231,-383,0.28,337,354,336,313,538,0.43
12,160080238,165676661,161740150,162240514,290,375,278,342,686,0.549,331,340,356,359,-435,0.318,228,224,228,220,-331,0.242,349,358,342,320,532,0.426
13,160080218,165676655,161740153,162240528,290,387,274,349,648,0.518,345,365,341,354,-495,0.361,250,241,247,240,-332,0.242,347,363,349,333,521,0.417
14,160080214,165676658,161740162,162240529,290,407,286,363,693,0.554,340,373,340,374,-492,0.359,243,238,222,214,-360,0.263,351,365,333,310,523,0.418
15,160080236,165676648,161740140,162240522,277,363,292,354,678,0.542,342,359,342,360,-523,0.382,242,232,226,215,-362,0.264,338,356,341,325,561,0.449
16,160080221,165417331,161740013,162240507,272,384,288,363,645,0.528,339,352,331,350,-469,0.342,216,207,224,217,-540,0.394,350,365,349,325,562,0.45
17,160080213,165676654,161740164,162240505,276,387,286,354,604,0.483,351,377,345,373,-497,0.363,232,226,232,232,-427,0.312,336,354,351,328,521,0.417
18,160080235,165676660,161740136,162240501,283,383,272,347,675,0.54,324,335,330,340,-456,0.333,235,227,222,214,-319,0.233,343,359,353,335,512,0.41
19,160080204,165676646,161080301,162240516,289,393,288,357,607,0.486,345,353,332,342,-507,0.37,231,220,230,222,-312,0.228,348,367,350,335,560,0.448
20,160080226,165417332,161740148,162240504,291,383,277,342,622,0.498,340,355,337,357,-441,0.322,233,225,222,213,-398,0.291,338,352,341,321,547,0.438
21,160080231,165417327,161740156,162240512,276,361,282,351,688,0.55,332,344,326,340,-455,0.332,233,229,235,231,-348,0.254,347,356,342,325,541,0.433
22,160080208,165676659,161740158,162240524,276,380,286,359,706,0.565,355,375,350,363,-494,0.361,250,247,232,213,-335,0.245,352,368,347,320,555,0.444
23,160080239,165417329,161740010,162240530,280,376,287,358,727,0.582,350,368,344,365,-439,0.32,230,227,222,217,-487,0.356,342,368,340,320,565,0.452
24,160080217,165417328,161740146,162240515,293,388,276,357,657,0.526,343,354,357,373,-366,0.267,241,235,222,227,-342,0.25,348,372,332,313,568,0.454
25,160080203,165676651,161740149,162240521,275,386,285,360,600,0.516,339,371,354,385,-546,0.399,246,243,237,233,-306,0.223,346,370,342,320,541,0.433
